Name,ChrNr,Resolution,n,WN,WS,binNrStart,binNrEnd,START,END,S
G401_BR1,14,40000,253.0,759,2,1131,1383,45200000,55320000,2.9865125323370187
G401_BR1,14,40000,253.0,759,2,1133,1385,45280000,55400000,2.9861371962733676
G401_BR1,14,40000,253.0,759,2,1135,1387,45360000,55480000,2.98389676187307
G401_BR1,14,40000,253.0,759,2,1137,1389,45440000,55560000,2.9834292896048025
G401_BR1,14,40000,253.0,759,2,1139,1391,45520000,55640000,2.9879148926874612
G401_BR1,14,40000,253.0,759,2,1141,1393,45600000,55720000,2.9849847051270335
G401_BR1,14,40000,253.0,759,2,1143,1395,45680000,55800000,2.9768143602884747
G401_BR1,14,40000,253.0,759,2,1145,1397,45760000,55880000,2.9715002023364487
G401_BR1,14,40000,253.0,759,2,1147,1399,45840000,55960000,2.9692129825050193
G401_BR1,14,40000,253.0,759,2,1149,1401,45920000,56040000,2.974116321044134
G401_BR1,14,40000,253.0,759,2,1151,1403,46000000,56120000,2.977217044771793
G401_BR1,14,40000,253.0,759,2,1153,1405,46080000,56200000,2.9841281315565955
G401_BR1,14,40000,253.0,759,2,1155,1407,46160000,56280000,2.994201379299609
G401_BR1,14,40000,253.0,759,2,1157,1409,46240000,56360000,2.998752825924927
